Timestamp,Event,Value
1735576545.5456207,CAD operativo,34702
1735576545.5542178,CAD operativo,34710
1735576545.5622551,CAD operativo,34718
1735576545.5704625,CAD operativo,34727
1735576545.5786867,CAD operativo,34735
1735576545.5869708,CAD operativo,34743
1735576545.5956118,CAD operativo,34752
1735576545.6029122,CAD operativo,34760
1735576545.6122077,CAD operativo,34768
1735576545.6202548,CAD operativo,34777
1735576545.6285765,CAD operativo,34785
1735576545.6371555,CAD operativo,34793
1735576545.6453443,CAD operativo,34801
1735576545.654179,CAD operativo,34810
1735576545.6622336,CAD operativo,34818
1735576545.6703193,CAD operativo,34826
1735576545.679213,CAD operativo,34835
1735576545.6867657,CAD operativo,34843
1735576545.6948383,CAD operativo,34851
1735576545.703371,CAD operativo,34860
1735576545.7120702,CAD operativo,34868
1735576545.719506,CAD operativo,34876
1735576545.7279122,CAD operativo,34884
1735576545.7363336,CAD operativo,34893
1735576545.7450593,CAD operativo,34901
1735576545.7524412,CAD operativo,34909
1735576545.7621877,CAD operativo,34918
1735576545.7695482,CAD operativo,34926
1735576545.7780263,CAD operativo,34934
1735576545.7862227,CAD operativo,34943
1735576545.7952232,CAD operativo,34951
1735576545.803095,CAD operativo,34959
1735576545.8114078,CAD operativo,34967
1735576545.8194165,CAD operativo,34976
1735576545.8274474,CAD operativo,34984
1735576545.835201,CAD operativo,34992
1735576545.8452222,CAD operativo,35001
1735576545.8524966,CAD operativo,35009
1735576545.8602066,CAD operativo,35017
1735576545.8701186,CAD operativo,35026
1735576545.8777297,CAD operativo,35034
1735576545.8856106,CAD operativo,35042
1735576545.8948934,CAD operativo,35050
1735576545.9032543,CAD operativo,35059
1735576545.9110303,CAD operativo,35067
1735576545.9192278,CAD operativo,35075
1735576545.9278817,CAD operativo,35084
1735576545.9353905,CAD operativo,35092
1735576545.9441023,CAD operativo,35100
1735576545.9524102,CAD operativo,35109
1735576545.9610293,CAD operativo,35117
1735576545.9680328,CAD operativo,35125
1735576545.978219,CAD operativo,35133
1735576545.985556,CAD operativo,35142
1735576545.9935734,CAD operativo,35150
1735576546.0018492,CAD operativo,35158
1735576546.0111995,CAD operativo,35167
1735576546.0184822,CAD operativo,35175
1735576546.0272183,CAD operativo,35183
1735576546.035658,CAD operativo,35192
1735576546.0436566,CAD operativo,35200
1735576546.0522857,CAD operativo,35208
1735576546.0602942,CAD operativo,35216
1735576546.0682218,CAD operativo,35225
1735576546.076987,CAD operativo,35233
1735576546.0842283,CAD operativo,35241
1735576546.0942419,CAD operativo,35250
1735576546.1012475,CAD operativo,35258
1735576546.1099572,CAD operativo,35266
1735576546.118827,CAD operativo,35275
1735576546.126536,CAD operativo,35283
1735576546.1350553,CAD operativo,35291
1735576546.1440403,CAD operativo,35299
1735576546.1514287,CAD operativo,35308
1735576546.160033,CAD operativo,35316
1735576546.1680338,CAD operativo,35324
1735576546.176519,CAD operativo,35333
1735576550.4283352,Mensaje recibido,39581
1735576550.4322047,CAD operativo,39589
1735576550.4416258,CAD operativo,39597
1735576550.449606,CAD operativo,39606
1735576550.4577029,CAD operativo,39614
1735576550.4656348,CAD operativo,39622
1735576550.4749012,CAD operativo,39631
1735576550.483521,CAD operativo,39639
1735576550.491337,CAD operativo,39647
1735576550.501642,CAD operativo,39655
1735576550.507936,CAD operativo,39664
